"Geneid","GeneName","NewName","9_SC1","10_Ssh1","11_SC2","12_Ssh2"
"ENSG00000105341","DMAC2","ENSG00000105341_DMAC2",1630,1371,1138,1764
"ENSG00000105355","PLIN3","ENSG00000105355_PLIN3",3843,4399,3068,5255
"ENSG00000105357","MYH14","ENSG00000105357_MYH14",541,1278,508,1262
"ENSG00000105364","MRPL4","ENSG00000105364_MRPL4",2642,1947,1773,2426
"ENSG00000105372","RPS19","ENSG00000105372_RPS19",19307,17885,15111,18661
"ENSG00000105373","NOP53","ENSG00000105373_NOP53",1803,1372,1435,1415
"ENSG00000105376","ICAM5","ENSG00000105376_ICAM5",672,543,435,601
"ENSG00000105379","ETFB","ENSG00000105379_ETFB",711,573,350,536
"ENSG00000105393","BABAM1","ENSG00000105393_BABAM1",836,661,556,657
"ENSG00000105397","TYK2","ENSG00000105397_TYK2",2435,1311,1649,1321
"ENSG00000105401","CDC37","ENSG00000105401_CDC37",7840,5199,5097,4937
"ENSG00000105402","NAPA","ENSG00000105402_NAPA",1278,1053,836,1065
"ENSG00000105404","RABAC1","ENSG00000105404_RABAC1",147,147,135,129
"ENSG00000105409","ATP1A3","ENSG00000105409_ATP1A3",57,41,26,40
"ENSG00000105419","MEIS3","ENSG00000105419_MEIS3",28,106,28,86
"ENSG00000105426","PTPRS","ENSG00000105426_PTPRS",1271,1700,748,1534
"ENSG00000105427","CNFN","ENSG00000105427_CNFN",134,225,83,204
"ENSG00000105429","MEGF8","ENSG00000105429_MEGF8",1351,2445,997,1886
"ENSG00000105438","KDELR1","ENSG00000105438_KDELR1",7722,6186,5379,6601
"ENSG00000105443","CYTH2","ENSG00000105443_CYTH2",1550,1288,929,1151
"ENSG00000105447","GRWD1","ENSG00000105447_GRWD1",2257,1087,1265,1318
"ENSG00000105464","GRIN2D","ENSG00000105464_GRIN2D",1538,1272,799,1165
"ENSG00000105472","CLEC11A","ENSG00000105472_CLEC11A",42,41,28,46
"ENSG00000105479","CCDC114","ENSG00000105479_CCDC114",35,76,29,66
"ENSG00000105483","CARD8","ENSG00000105483_CARD8",494,289,226,319
"ENSG00000105486","LIG1","ENSG00000105486_LIG1",2880,718,1136,735
"ENSG00000105497","ZNF175","ENSG00000105497_ZNF175",219,163,118,181
"ENSG00000105499","PLA2G4C","ENSG00000105499_PLA2G4C",7,12,6,39
"ENSG00000105514","RAB3D","ENSG00000105514_RAB3D",1809,1743,1097,1905
"ENSG00000105516","DBP","ENSG00000105516_DBP",319,482,122,430
"ENSG00000105518","TMEM205","ENSG00000105518_TMEM205",1888,1782,1329,2101
"ENSG00000105519","CAPS","ENSG00000105519_CAPS",643,1414,348,1027
"ENSG00000105520","PLPPR2","ENSG00000105520_PLPPR2",960,1449,665,1866
"ENSG00000105523","FAM83E","ENSG00000105523_FAM83E",65,459,81,431
"ENSG00000105538","RASIP1","ENSG00000105538_RASIP1",9,30,19,44
"ENSG00000105549","THEG","ENSG00000105549_THEG",22,77,16,134
"ENSG00000105552","BCAT2","ENSG00000105552_BCAT2",1682,1289,1122,1189
"ENSG00000105556","MIER2","ENSG00000105556_MIER2",932,825,586,906
"ENSG00000105559","PLEKHA4","ENSG00000105559_PLEKHA4",550,778,462,785
"ENSG00000105568","PPP2R1A","ENSG00000105568_PPP2R1A",9899,6184,5650,6830
"ENSG00000105576","TNPO2","ENSG00000105576_TNPO2",5581,2791,2588,3540
"ENSG00000105607","GCDH","ENSG00000105607_GCDH",825,423,477,439
"ENSG00000105612","DNASE2","ENSG00000105612_DNASE2",1309,1675,1075,1853
"ENSG00000105613","MAST1","ENSG00000105613_MAST1",123,97,76,117
"ENSG00000105617","LENG1","ENSG00000105617_LENG1",135,120,132,111
"ENSG00000105618","PRPF31","ENSG00000105618_PRPF31",2301,1214,1376,1307
"ENSG00000105619","TFPT","ENSG00000105619_TFPT",518,372,335,367
"ENSG00000105639","JAK3","ENSG00000105639_JAK3",111,308,102,303
"ENSG00000105640","RPL18A","ENSG00000105640_RPL18A",15177,12187,11373,11997
"ENSG00000105641","SLC5A5","ENSG00000105641_SLC5A5",5,26,3,15
"ENSG00000105642","KCNN1","ENSG00000105642_KCNN1",6,42,6,23
"ENSG00000105643","ARRDC2","ENSG00000105643_ARRDC2",223,235,124,269
"ENSG00000105649","RAB3A","ENSG00000105649_RAB3A",234,142,103,167
"ENSG00000105655","ISYNA1","ENSG00000105655_ISYNA1",1959,2073,1009,1667
"ENSG00000105656","ELL","ENSG00000105656_ELL",690,526,509,960
"ENSG00000105662","CRTC1","ENSG00000105662_CRTC1",233,318,168,99
"ENSG00000105668","UPK1A","ENSG00000105668_UPK1A",16,36,17,33
"ENSG00000105669","COPE","ENSG00000105669_COPE",2520,2375,1748,2181
"ENSG00000105671","DDX49","ENSG00000105671_DDX49",1750,953,1011,984
"ENSG00000105676","ARMC6","ENSG00000105676_ARMC6",1987,832,1000,942
"ENSG00000105677","TMEM147","ENSG00000105677_TMEM147",3021,1929,2110,2565
"ENSG00000105698","USF2","ENSG00000105698_USF2",2232,2229,1324,2326
"ENSG00000105699","LSR","ENSG00000105699_LSR",3636,3396,2854,3799
"ENSG00000105700","KXD1","ENSG00000105700_KXD1",2001,1456,1483,1851
"ENSG00000105701","FKBP8","ENSG00000105701_FKBP8",9111,9978,6192,8594
"ENSG00000105705","AC004475.1","ENSG00000105705_AC004475.1",930,792,663,819
"ENSG00000105708","ZNF14","ENSG00000105708_ZNF14",150,97,66,145
"ENSG00000105711","SCN1B","ENSG00000105711_SCN1B",47,55,26,92
"ENSG00000105717","PBX4","ENSG00000105717_PBX4",44,32,25,32
"ENSG00000105722","ERF","ENSG00000105722_ERF",2949,2575,1875,2521
"ENSG00000105723","GSK3A","ENSG00000105723_GSK3A",2834,1942,1863,2617
"ENSG00000105726","ATP13A1","ENSG00000105726_ATP13A1",2564,1730,1596,1712
"ENSG00000105732","ZNF574","ENSG00000105732_ZNF574",1123,965,681,1010
"ENSG00000105737","GRIK5","ENSG00000105737_GRIK5",22,23,10,4
"ENSG00000105738","SIPA1L3","ENSG00000105738_SIPA1L3",1615,1027,965,1014
"ENSG00000105750","ZNF85","ENSG00000105750_ZNF85",103,44,41,43
"ENSG00000105755","ETHE1","ENSG00000105755_ETHE1",910,664,676,669
"ENSG00000105767","CADM4","ENSG00000105767_CADM4",1171,1765,540,1629
"ENSG00000105771","SMG9","ENSG00000105771_SMG9",615,371,396,407
"ENSG00000105778","AVL9","ENSG00000105778_AVL9",2824,1286,1792,1803
"ENSG00000105784","RUNDC3B","ENSG00000105784_RUNDC3B",41,54,38,85
"ENSG00000105792","CFAP69","ENSG00000105792_CFAP69",75,85,38,69
"ENSG00000105793","GTPBP10","ENSG00000105793_GTPBP10",762,491,519,567
"ENSG00000105810","CDK6","ENSG00000105810_CDK6",3263,2322,1845,3122
"ENSG00000105819","PMPCB","ENSG00000105819_PMPCB",2245,1452,1280,1666
"ENSG00000105821","DNAJC2","ENSG00000105821_DNAJC2",1276,519,739,703
"ENSG00000105825","TFPI2","ENSG00000105825_TFPI2",131,50,95,74
"ENSG00000105829","BET1","ENSG00000105829_BET1",724,551,559,712
"ENSG00000105835","NAMPT","ENSG00000105835_NAMPT",3674,1667,2033,2751
"ENSG00000105849","TWISTNB","ENSG00000105849_TWISTNB",1559,784,864,1085
"ENSG00000105854","PON2","ENSG00000105854_PON2",2792,1296,1493,1354
"ENSG00000105855","ITGB8","ENSG00000105855_ITGB8",928,1012,287,755
"ENSG00000105856","HBP1","ENSG00000105856_HBP1",1003,1002,608,1624
"ENSG00000105865","DUS4L","ENSG00000105865_DUS4L",356,135,181,208
"ENSG00000105866","SP4","ENSG00000105866_SP4",237,51,83,115
"ENSG00000105875","WDR91","ENSG00000105875_WDR91",1788,1717,1072,1456
"ENSG00000105877","DNAH11","ENSG00000105877_DNAH11",7,1,8,25
"ENSG00000105879","CBLL1","ENSG00000105879_CBLL1",922,573,486,776
"ENSG00000105880","DLX5","ENSG00000105880_DLX5",11,21,12,21
"ENSG00000105887","MTPN","ENSG00000105887_MTPN",6634,4280,3488,5411
"ENSG00000105889","STEAP1B","ENSG00000105889_STEAP1B",746,365,489,607
"ENSG00000105926","MPP6","ENSG00000105926_MPP6",902,335,384,489
"ENSG00000105928","GSDME","ENSG00000105928_GSDME",3307,2467,2375,2564
"ENSG00000105929","ATP6V0A4","ENSG00000105929_ATP6V0A4",135,80,123,138
"ENSG00000105939","ZC3HAV1","ENSG00000105939_ZC3HAV1",2851,1689,1606,2963
"ENSG00000105948","TTC26","ENSG00000105948_TTC26",382,289,208,355
"ENSG00000105953","OGDH","ENSG00000105953_OGDH",6422,5227,3752,5881
"ENSG00000105963","ADAP1","ENSG00000105963_ADAP1",86,191,64,110
"ENSG00000105968","H2AFV","ENSG00000105968_H2AFV",6982,3414,3647,4273
"ENSG00000105971","CAV2","ENSG00000105971_CAV2",3442,3169,1626,2560
"ENSG00000105974","CAV1","ENSG00000105974_CAV1",10686,7759,5330,6553
"ENSG00000105976","MET","ENSG00000105976_MET",2937,1920,1808,2791
"ENSG00000105983","LMBR1","ENSG00000105983_LMBR1",1806,1089,857,1266
"ENSG00000105991","HOXA1","ENSG00000105991_HOXA1",292,260,178,304
"ENSG00000105993","DNAJB6","ENSG00000105993_DNAJB6",4817,3387,3099,4264
"ENSG00000105996","HOXA2","ENSG00000105996_HOXA2",37,11,8,6
"ENSG00000105997","HOXA3","ENSG00000105997_HOXA3",131,120,62,106
