"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007051","spindle organization","41/802","240/21338",0.170833333333333,4.54518911055694,10.9149140057899,3.58422030094632e-16,4.64856049084157e-14,4.22627615597184e-14,"MYBL2/CDC20/PLK1/ESPL1/CENPE/NDC80/ASPM/KIF23/DLGAP5/KIFC1/TACC3/CCNB1/AURKB/NUF2/KIF4A/TUBB/KIF11/BORA/TPX2/RCC1/KIF15/CDCA8/AURKA/PSRC1/SPAG5/CCNB2/TTK/NEK2/RACGAP1/STMN1/POC1A/SPC25/STIL/SKA1/BIRC5/WDR62/KNSTRN/SKA3/MAPRE3/TPPP/SASS6",41
"GO:0007093","mitotic cell cycle checkpoint signaling","34/802","165/21338",0.206060606060606,5.4824454016474,11.4225144627788,3.63387170059774e-16,4.64856049084157e-14,4.22627615597184e-14,"CDC20/SPDL1/PLK1/NDC80/BUB1B/CCNB1/AURKB/NUF2/CENPF/ZWINT/TICRR/CDK1/KNL1/GEN1/TRIP13/CHEK1/MSH2/CDCA8/MAD2L1/BLM/TTK/MUC1/XRCC3/SPC25/BUB1/TIPIN/SKA1/EME1/CLSPN/BIRC5/ORC1/SKA3/CDKN1A/BARD1",34
"GO:1901990","regulation of mitotic cell cycle phase transition","53/802","396/21338",0.133838383838384,3.56090203783471,10.1654688987875,8.71979517448046e-16,1.08757645313707e-13,9.88778879127271e-14,"RRM2/CDC20/SPDL1/PLK1/ESPL1/CENPE/NDC80/ANLN/BUB1B/UBE2C/DLGAP5/RBL1/CCNB1/AURKB/NUF2/CENPF/KIF14/ZWINT/CDKN2B/TICRR/CDK1/ANAPC11/KNL1/GEN1/PKMYT1/TRIP13/CHEK1/EZH2/CDCA8/AURKA/MAD2L1/BLM/TTK/CCNE2/MUC1/XRCC3/SPC25/BUB1/CDKN2C/STIL/SKA1/CLSPN/ATAD5/BIRC5/ORC1/E2F7/SKA3/CDKN1A/CDC25C/BARD1/DACT1/SASS6/WEE1",53
"GO:1901991","negative regulation of mitotic cell cycle phase transition","38/802","213/21338",0.178403755868545,4.74660765925562,10.8598942046853,1.00972767200212e-15,1.22866618429722e-13,1.11705174291583e-13,"CDC20/SPDL1/PLK1/NDC80/BUB1B/RBL1/CCNB1/AURKB/NUF2/CENPF/ZWINT/CDKN2B/TICRR/CDK1/KNL1/GEN1/PKMYT1/TRIP13/CHEK1/EZH2/CDCA8/MAD2L1/BLM/TTK/MUC1/XRCC3/SPC25/BUB1/SKA1/CLSPN/BIRC5/ORC1/E2F7/SKA3/CDKN1A/BARD1/DACT1/WEE1",38
"GO:1905820","positive regulation of chromosome separation","17/802","35/21338",0.485714285714286,12.9229070181689,13.9505628649724,1.21418684231054e-15,1.44228051340174e-13,1.31126092819953e-13,"CDC20/ESPL1/NCAPG/UBE2C/DLGAP5/AURKB/SMC4/ANAPC11/NCAPG2/NCAPH/NCAPH2/CDCA8/NCAPD2/SMC2/SKA1/BIRC5/SKA3",17
"GO:0051310","metaphase chromosome alignment","28/802","115/21338",0.243478260869565,6.4779789656294,11.6402371489554,1.62421243264524e-15,1.88446414569003e-13,1.71327573372542e-13,"SPDL1/CENPE/NDC80/KIFC1/CCNB1/AURKB/NUF2/CENPF/KIF14/KIF18A/ZWINT/CDK1/KNL1/FAM83D/KIF2C/CDCA8/PSRC1/SPAG5/TTK/CDT1/NEK2/RACGAP1/SPC25/SKA1/BIRC5/KNSTRN/SKA3/SGO1",28
"GO:0006261","DNA-templated DNA replication","33/802","174/21338",0.189655172413793,5.04596267950813,10.5899413553764,1.26484461094883e-14,1.43416131000539e-12,1.30387928913361e-12,"CDC45/DBF4/LIG1/TICRR/CDK1/POLA1/MCM5/GEN1/PCNA/RFC3/BLM/CDT1/RTEL1/DNA2/MCM10/CCNE2/WDHD1/POLE2/MCM4/TIPIN/GINS4/MCM7/E2F8/TONSL/EME1/POLD4/ATAD5/ORC1/E2F7/BRCA2/BARD1/POLQ/PRIM1",33
"GO:0007052","mitotic spindle organization","31/802","154/21338",0.201298701298701,5.3557502348026,10.7205058998131,1.45744506806658e-14,1.61582076546314e-12,1.46903644404652e-12,"MYBL2/CDC20/PLK1/CENPE/NDC80/KIF23/DLGAP5/KIFC1/TACC3/CCNB1/AURKB/NUF2/KIF4A/KIF11/BORA/TPX2/RCC1/KIF15/CDCA8/AURKA/PSRC1/TTK/NEK2/RACGAP1/STMN1/POC1A/SPC25/STIL/BIRC5/WDR62/SASS6",31
"GO:0050000","chromosome localization","29/802","136/21338",0.213235294117647,5.67333504474109,10.8044805485862,2.1409974329251e-14,2.32205134627463e-12,2.11111165640143e-12,"SPDL1/CENPE/NDC80/DLGAP5/KIFC1/CCNB1/AURKB/NUF2/CENPF/KIF14/KIF18A/ZWINT/CDK1/KNL1/FAM83D/KIF2C/CDCA8/PSRC1/SPAG5/TTK/CDT1/NEK2/RACGAP1/SPC25/SKA1/BIRC5/KNSTRN/SKA3/SGO1",29
"GO:0045786","negative regulation of cell cycle","54/802","457/21338",0.118161925601751,3.14381442455131,9.15515237612857,9.06866813623195e-14,9.62629475141727e-12,8.75182329205453e-12,"CDC20/SPDL1/PLK1/ESPL1/CDC45/NDC80/BUB1B/RBL1/CCNB1/NUPR1/AURKB/NUF2/CENPF/ZWINT/CDKN2B/TICRR/CCNF/CDK1/KNL1/GEN1/PKMYT1/TRIP13/CHEK1/MSH2/EZH2/CDCA8/SUSD2/MAD2L1/BLM/TTK/CDT1/NEK2/DNA2/CEBPA/MUC1/XRCC3/SPC25/BUB1/TIPIN/SKA1/E2F8/EME1/CLSPN/BIRC5/ORC1/E2F7/SKA3/INHA/CDKN1A/BRCA2/BRIP1/BARD1/DACT1/WEE1",54
"GO:2001251","negative regulation of chromosome organization","25/802","105/21338",0.238095238095238,6.33475834223964,10.8292818176146,9.26748241769576e-14,9.63238953789253e-12,8.7573644161954e-12,"PIF1/CDC20/SPDL1/PLK1/ESPL1/NDC80/BUB1B/CCNB1/AURKB/NUF2/CENPF/ZWINT/KNL1/GEN1/TRIP13/CDCA8/MAD2L1/TTK/RTEL1/XRCC3/SPC25/BUB1/SKA1/BIRC5/SKA3",25
"GO:0045930","negative regulation of mitotic cell cycle","41/802","287/21338",0.142857142857143,3.80085500534378,9.44041626590521,1.91530544125815e-13,1.95009364212998e-11,1.77294331823445e-11,"CDC20/SPDL1/PLK1/NDC80/BUB1B/RBL1/CCNB1/AURKB/NUF2/CENPF/ZWINT/CDKN2B/TICRR/CDK1/KNL1/GEN1/PKMYT1/TRIP13/CHEK1/MSH2/EZH2/CDCA8/MAD2L1/BLM/TTK/MUC1/XRCC3/SPC25/BUB1/TIPIN/SKA1/EME1/CLSPN/BIRC5/ORC1/E2F7/SKA3/CDKN1A/BARD1/DACT1/WEE1",41
"GO:0008608","attachment of spindle microtubules to kinetochore","19/802","59/21338",0.322033898305085,8.56802907984276,11.503476923464,2.31471753476951e-13,2.30962515619301e-11,2.09981428575196e-11,"CENPE/NDC80/CCNB1/AURKB/NUF2/CDK1/KNL1/KIF2C/CDCA8/SPAG5/CDT1/NEK2/RACGAP1/SPC25/SKA1/BIRC5/KNSTRN/SKA3/SGO1",19
"GO:0033044","regulation of chromosome organization","40/802","277/21338",0.144404332129964,3.8420194999865,9.40856476591357,2.64909551691491e-13,2.591438732135e-11,2.35602736478562e-11,"PIF1/CDC20/SPDL1/PLK1/ESPL1/NCAPG/CENPE/NDC80/BUB1B/UBE2C/DLGAP5/TACC3/CCNB1/AURKB/NUF2/CENPF/ZWINT/SMC4/CDK1/ANAPC11/KNL1/GEN1/NCAPG2/TRIP13/NCAPH/NCAPH2/CDCA8/MAD2L1/TTK/NCAPD2/NEK2/RTEL1/SMC2/XRCC3/SPC25/BUB1/SKA1/BIRC5/SKA3/MAPT",40
"GO:0006260","DNA replication","42/802","311/21338",0.135048231511254,3.59309122691663,9.10343441942124,6.67761169081645e-13,6.40665475490063e-11,5.82466169549151e-11,"FAM111B/CDC45/DBF4/LIG1/TICRR/CDK1/POLA1/MCM5/CCNA2/GEN1/PCNA/RECQL4/CHEK1/RFC3/BLM/CDT1/RTEL1/DSCC1/DNA2/MCM10/CCNE2/WDHD1/POLE2/MCM4/PCLAF/TIPIN/GINS4/MCM7/E2F8/TONSL/EME1/POLD4/ATAD5/ORC1/E2F7/CDKN1A/ESCO2/BRCA2/BARD1/POLQ/WEE1/PRIM1",42
"GO:0051984","positive regulation of chromosome segregation","14/802","33/21338",0.424242424242424,11.287387591627,11.6873819803413,4.23119053893979e-12,3.98290747146615e-10,3.62109235993874e-10,"NCAPG/CCNB1/AURKB/SMC4/CDK1/NCAPG2/NCAPH/NCAPH2/CDCA8/NCAPD2/SMC2/SKA1/BIRC5/SKA3",14
"GO:0044786","cell cycle DNA replication","16/802","46/21338",0.347826086956522,9.25425566518486,11.0750204924155,4.7225341662162e-12,4.3630968435653e-10,3.96674458522917e-10,"CDC45/DBF4/LIG1/CDK1/POLA1/PCNA/BLM/CDT1/RTEL1/DNA2/MCM4/TIPIN/E2F8/ATAD5/E2F7/BRCA2",16
"GO:0090231","regulation of spindle checkpoint","12/802","25/21338",0.48,12.7708728179551,11.6373022460986,2.42928717726119e-11,2.20358431406474e-09,2.00340640130497e-09,"NDC80/CCNB1/AURKB/ZWINT/KNL1/GEN1/CDCA8/MAD2L1/XRCC3/SKA1/BIRC5/SKA3",12
